Form,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
8-A12G,,29,97,851,"1,204",999,"1,038",862,531,483,404,478,471,452,311,271,200,182,251,204,155,158,152,110,78,81,56,57,"10,165"
8-A12G/A,,28,57,184,214,168,250,181,152,155,141,130,123,95,73,79,64,58,38,38,23,28,24,12,17,11,8,10,"2,361"
8-B12B,,11,22,29,27,,,,,,,,,,,,,,,,,,,,,,,,89
8-B12B/A,,2,15,11,2,,,,,,,,,,,,,,,,,,,,,,,,30
8-B12G,,2,4,15,37,,,,,,,,,,,,,,,,,,,,,,,,58
8-B12G/A,,,7,3,3,,,,,,,,,,,,,,,,,,,,,,,,13
8-K,1,"3,623","6,336","15,716","24,098","27,956","27,901","29,649","35,240","45,016","67,656","91,362","116,283","106,308","101,305","90,923","81,964","80,442","78,824","77,353","76,369","76,930","76,407","72,621","70,785","68,181","66,427","72,329","1,688,005"
8-K/A,,375,798,"2,155","2,858","3,285","2,941","2,945","2,803","3,073","3,632","4,093","5,396","4,898","4,375","3,407","2,987","2,787","3,865","2,771","2,804","2,613","2,280","1,890","2,426","1,817","1,734","1,769","76,777"
8-K12B,,,,,,,,,,1,,1,,7,10,3,11,14,15,10,14,18,20,23,20,30,27,31,255
8-K12B/A,,,,,,,,,,,,,,,2,2,1,1,,1,2,,1,2,2,3,5,5,27
8-K12G3,,,,8,20,44,40,80,49,47,41,40,26,27,27,23,25,17,16,11,16,9,13,11,6,11,4,5,616
8-K12G3/A,,,,,1,,3,16,38,18,7,4,4,3,4,,1,1,3,2,,4,4,1,,,1,,115
8-K15D5,,,1,5,17,2,1,2,4,13,2,3,3,4,5,2,,,6,1,,,,,4,1,,,76
8-K15D5/A,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,2
8-M,,,,,,,,,,3,8,5,4,4,3,2,1,5,4,,5,,2,2,2,11,5,,66
8A12BEF,,,40,26,31,,,,,,,,,,,,,,,,,,,,,,,,97
8A12BT,,,105,25,6,,,,,,,,,,,,,,,,,,,,,,,,136
